Title,Start,End,Mark,URL
PhD Thesis Defence  by Mr. Tanyaradzwa S. Muzata,02-16-2021 11.00 AM,02-16-2021 12.30 PM,Info,https://materials.iisc.ac.in/defence/tanyaradzwa-16-feb-2021
PhD Thesis Defence  by Ms. Mousumi Beto Mukherjee,03-04-2021 11.00,03-04-2021 12.30,Info,https://materials.iisc.ac.in/defence/mousumi-04-mar-2021
PhD Thesis Defence  by Mr. Sarvesh Kumar,03-11-2021 14.30,03-11-2021 15.30,Info,https://materials.iisc.ac.in/defence/sarvesh-11-mar-2021
PhD Thesis Defence  by Mr. Girish Bojjawar,03-23-2021 03.00 PM,03-23-2021 04.00 PM,Info,https://materials.iisc.ac.in/defence/girish-23-mar-2021
Seminar by Prof. Tresa Pollock,03-26-2021 09.35 AM,03-26-2021 10.35 AM ,Important,https://materials.iisc.ac.in/seminar/tresa-26-mar-2021
PhD Thesis Defence  by Mr. Abhinav Arya,03-29-2021 04.00 PM,03-29-2021 05.00 PM,Info,https://materials.iisc.ac.in/defence/abhinav-29-mar-2021
PhD Thesis Defence  by Ms. Sonawane Dipali Shivaji,03-30-2021 03.00 PM,03-30-2021 04.00 PM,Info,https://materials.iisc.ac.in/defence/dipali-30-mar-2021
PhD Thesis Defence  by Mr. K.U. Yazar,03-31-2021 03.30 PM,03-31-2021 04.30 PM,Info,https://materials.iisc.ac.in/defence/yazar-31-mar-2021
Seminar by Prof G.K. Ananthasuresh,04-08-2021 16.00,04-08-2021 17.00,Important,https://materials.iisc.ac.in/seminar/ananthasuresh-08-apr-2021
PhD Colloquium by Mr. Angappan M,04-16-2021 11.00 AM,04-16-2021 11.55 AM,Info,https://materials.iisc.ac.in/colloquium/angappan-16-apr-2021
PhD Thesis Defence  by Ms. Shrutee L,04-28-2021 03.00 PM,04-28-2021 04.00 PM,Info,https://materials.iisc.ac.in/defence/shrutee-28-apr-2021
PhD Thesis Defence  by Ms. Sweety Arora,04-29-2021 10.00 AM,04-29-2021 11.00 AM,Info,https://materials.iisc.ac.in/defence/sweety-29-apr-2021
Seminar by Dr. Pikee Priya,05-04-2021 16.00,05-04-2021 17.00,Important,https://materials.iisc.ac.in/seminar/priya-04-may-2021
Seminar by UCL,05-13-2021 02.30 PM,05-13-2021 06.00 PM,Important,https://materials.iisc.ac.in/seminar/ucl-13-may-2021
Seminar by Dr. Ankur Chauhan,04-29-2021 05.00 PM,04-29-2021 06.00 PM,Important,https://materials.iisc.ac.in/seminar/ankur-29-apr-2021
PhD Colloquium by Mr. Amith G. Anil,05-07-2021 11.00 AM,05-07-2021 11.55 AM,Info,https://materials.iisc.ac.in/colloquium/amith-07-may-2021
Seminar by Dr. Sunita Mehta,06-03-2021 04.00 PM,06-03-2021 05.00 PM,Important,https://materials.iisc.ac.in/seminar/sunita-03-jun-2021
Seminar by Dr. Archana Sinha,06-07-2021 11.30 AM,06-07-2021 12.30 PM,Important,https://materials.iisc.ac.in/seminar/archana-07-jun-2021
PhD Colloquium by Mr. Amith G. Anil,05-07-2021 11.00,05-07-2021 11.55,Info,https://materials.iisc.ac.in/colloquium/amith-07-may-2021
PhD Colloquium by  Mr. Anupam Mishra,05-24-2021  11.00,05-24-2021  12.00,Info,https://materials.iisc.ac.in/colloquium/anupam-24-may-2021
PhD Colloquium by Mr. Aramanda Shanmukha Kiran,05-25-2021  11.30 AM,05-25-2021  12.30 PM,Info,https://materials.iisc.ac.in/colloquium/kiran-25-may-2021
PhD Colloquium by Mr. Khanna Sumeet Rajesh,05-25-2021  03.00 PM,05-25-2021  04.00 PM,Info,https://materials.iisc.ac.in/colloquium/khanna-25-may-2021
"Mini symposium on ""In-situ nanomechanical testing and property correlation""",06-01-2021 16.00,06-01-2021 6.30PM,Special,https://materials.iisc.ac.in/symposium/nanomechtest-1-jun-2021
"Mini symposium on ""In-situ nanomechanical testing and property correlation""",06-02-2021 16.00,06-02-2021 6.30PM,Special,https://materials.iisc.ac.in/symposium/nanomechtest-1-jun-2021
PhD Thesis Defence  by Mr. Yudhajit Bhattacharjee,06-08-2021 11.30 AM,06-08-2021 12.30 PM,Info,https://materials.iisc.ac.in/defence/yudhajit-08-jun-2021
Seminar by Dr. Sujit Das,06-11-2021 02.00 PM,06-11-2021 03.00 PM,Important,https://materials.iisc.ac.in/seminar/sujit-11-jun-2021
PhD Colloquium by Mr. Ahmed Aliyu,06-10-2021  11.00 AM,06-10-2021  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/ahmed-10-jun-2021
Seminar by Prof. Brian Cantor,06-10-2021 04.00 PM,06-10-2021 05.00 PM,Important,https://materials.iisc.ac.in/seminar/brian-10-jun-2021
PhD Colloquium by Mr. Abhay Gupta,07-05-2021  11.00 AM,07-05-2021  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/abhay-05-jul-2021
PhD Colloquium by Mr. Gyan Shankar,07-19-2021  03.00 PM,07-19-2021  04.00 PM,Info,https://materials.iisc.ac.in/colloquium/gyan-19-jul-2021
PhD Colloquium by Ms. Radhika Wazalwar,07-20-2021  11.00 AM,07-20-2021  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/radhika-20-jul-2021
PhD Colloquium by Ms. Anwesha Kanjilal,08-06-2021  11.00 AM,08-06-2021  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/anwesha-6-aug-2021
PhD Thesis Defence  by Mr. Ujjval Bansal,08-03-2021  10.30 AM,08-03-2021  11.30 AM,Info,https://materials.iisc.ac.in/defence/ujjval-03-aug-2021
PhD Colloquium by Mr. Raj Jung Mahat,08-10-2021  11.00 AM,08-10-2021  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/rajjung-10-aug-2021
PhD Colloquium by Ms. Panithi Sireesha,08-17-2021  04.00 PM,08-17-2021  05.00 PM,Info,https://materials.iisc.ac.in/colloquium/panithi-17-aug-2021
PhD Thesis Defence  by Mr. Aramanda Shanmukha Kiran,09-07-2021  3.00 PM,09-07-2021  4.00 PM,Info,https://materials.iisc.ac.in/defence/aramanda-07-sep-2021
PhD Thesis Defence  by Mr. Shobhit Pratap Singh,09-16-2021  10.30 AM,09-16-2021  11.30 AM,Info,https://materials.iisc.ac.in/defence/shobhit-16-sep-2021
PhD Colloquium by Ms. Devabharathi Nehru,09-21-2021  03.30 PM,09-21-2021  04.30 PM,Info,https://materials.iisc.ac.in/colloquium/bharathi-21-sep-2021
Seminar by Dr. R. Balamuralikrishnan,09-21-2021 04.00 PM,09-21-2021 05.00 PM,Important,https://materials.iisc.ac.in/seminar/balamurali-21-sep-2021
PhD Colloquium by Ms. Mitta Divya,10-11-2021  03.30 PM,10-11-2021  04.30 PM,Info,https://materials.iisc.ac.in/colloquium/divya-11-oct-2021
PhD Colloquium by Mr. Naveen Kumar,10-27-2021  03.30 PM,10-27-2021  04.30 PM,Info,https://materials.iisc.ac.in/colloquium/naveen-27-oct-2021
PhD Defence by Mr. Khanna Sumeet Rajesh,10-29-2021  02.00 PM,10-29-2021  03.00 PM,Info,https://materials.iisc.ac.in/defence/khanna-29-oct-2021
PhD Defence by Mr. Ahmed Aliyu,11-03-2021  11.00 AM,11-03-2021  11.55 AM,Info,https://materials.iisc.ac.in/defence/ahmed-03-nov-2021
Seminar by Dr. Syed G. Dastager,10-29-2021 04.00 PM,10-29-2021 05.00 PM,Important,https://materials.iisc.ac.in/seminar/syed-29-oct-2021
PhD Defence by Mr. Anupam Mishra,11-09-2021  11.30 AM,11-09-2021  12.30 PM,Info,https://materials.iisc.ac.in/defence/anupam-09-nov-2021
PhD Defence by Mr. Abhay Gupta,11-16-2021  10.00 AM,11-16-2021  11.00 AM,Info,https://materials.iisc.ac.in/defence/abhay-16-nov-2021
Seminar by Prof. Mukesh Jain,11-19-2021 03.30 PM,11-19-2021 04.30 PM,Important,https://materials.iisc.ac.in/seminar/mukesh-19-nov-2021
